id,Producto,Tienda,Estado,Incumplimiento
13558,CHILES,TIENDAS SUPER PRECIO  S. A. DE C. V .,MEXICO,0
13559,EMBUTIDOS,TIENDAS SUPER PRECIO  S. A. DE C. V .,MEXICO,0
13560,JUGOS,TIENDAS SUPER PRECIO  S. A. DE C. V .,MEXICO,0
13561,ATUN,VINOS Y LICORES EL 13 Y/O SILVANO RAMOS BADILLO,MEXICO,0
13562,ATUN,VINOS Y LICORES EL 13 Y/O SILVANO RAMOS BADILLO,MEXICO,0
13563,ATUN,ABARROTES VINOS Y LICORES CASA RAMOS Y/O SOCORRO CARRILLO SANTOS,MEXICO,0
13564,ATUN,ABARROTES VINOS Y LICORES CASA RAMOS Y/O SOCORRO CARRILLO SANTOS,MEXICO,0
13565,ATUN,CREMERIA Y ABARROTES LA VIGA Y/O RICARDO GONZALEZ FRANCO,MEXICO,0
13566,ATUN,CREMERIA Y ABARROTES LA VIGA Y/O RICARDO GONZALEZ FRANCO,MEXICO,0
13567,BEBIDAS,TIENDAS CHEDRAUI  S. A. DE C. V.,MEXICO,0
13568,GALLETAS,TIENDAS CHEDRAUI  S. A. DE C. V.,MEXICO,0
13569,ENSALADAS,TIENDAS CHEDRAUI  S. A. DE C. V.,MEXICO,0
13570,MAYONESA,TIENDAS CHEDRAUI  S. A. DE C. V.,MEXICO,0
13571,ATUN,SUPER MERCADO MAYORISTA DZ Y/O PRODUCTOS DE CONSUMO Z  S. A. DE C. V.,MEXICO,0
13572,ATUN,SUPER MERCADO MAYORISTA DZ Y/O PRODUCTOS DE CONSUMO Z  S. A. DE C. V.,MEXICO,0
13573,ATUN,SUPER MERCADO MAYORISTA DZ Y/O PRODUCTOS DE CONSUMO Z  S. A. DE C. V.,MEXICO,0
13574,ATUN,SUPER MERCADO MAYORISTA DZ Y/O PRODUCTOS DE CONSUMO Z  S. A. DE C. V.,MEXICO,0
13575,VERDURAS ENLATADAS,SORIANA HIPER Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13576,GALLETAS,SORIANA HIPER Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13577,BEBIDAS,SORIANA HIPER Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13578,ATUN,SORIANA HIPER Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13579,ATUN,SORIANA HIPER Y/O TIENDAS SORIANA  S. A. DE C. V.,MEXICO,0
13580,MAYONESA,TIENDAS CHEDRAUI   S. A. DE C. V.,MEXICO,0
13581,ENSALADAS,TIENDAS CHEDRAUI   S. A. DE C. V.,MEXICO,0
13582,CHILES,TIENDAS CHEDRAUI   S. A. DE C. V.,MEXICO,0
13583,SALSA,TIENDAS CHEDRAUI   S. A. DE C. V.,MEXICO,0
13584,ATUN,TIENDAS CHEDRAUI   S. A. DE C. V.,MEXICO,0
13585,ATUN,TIENDAS CHEDRAUI   S. A. DE C. V.,MEXICO,0
13586,ATUN,TIENDAS CHEDRAUI   S. A. DE C. V.,MEXICO,0
13587,ATUN,TIENDAS CHEDRAUI   S. A. DE C. V.,MEXICO,0
13588,ATUN,MISCELANEA WENDY  Y/O LETICIA ALAMILLA PEREZ,MEXICO,0
13589,ATUN,MISCELANEA WENDY  Y/O LETICIA ALAMILLA PEREZ,MEXICO,0
13590,ATUN,ABARROTES EMMANUEL Y/O MARIA ELENA GARCIA ARANDA,MEXICO,0
13591,ATUN,CREMERIA LA NUEVA Y/O JUAN LUIS RODRIGUEZ PATIÑO,MEXICO,0
13592,ATUN,CREMERIA LA NUEVA Y/O JUAN LUIS RODRIGUEZ PATIÑO,MEXICO,0
13593,ATUN,ABARROTES SIXTYS Y/O JORGE ALBERTO PARDO VERA,MEXICO,0
13594,ATUN,ABARROTES SIXTYS Y/O JORGE ALBERTO PARDO VERA,MEXICO,0
13595,ATUN,ABARROTES EL CRUCERITO Y/O FORTINO CAMACHO MUÑOZ,MEXICO,0
